name,total,completed,remaining,percentage_completed
lib.nettix.com/etc - Common file desktop,239,73,166,30.543933054393307
Nettivaraosa - Desktop,113,54,59,47.78761061946903
Nettimarkkina - Desktop,90,35,55,38.88888888888889
Nettimokki - Desktop,83,26,57,31.32530120481928
Nettivene - Desktop,122,44,78,36.0655737704918
Nettiauto - Sitewise admin,36,2,34,5.555555555555555
Nettivene - Sitewise admin,18,0,18,0.0
Nettikone - Sitewise admin,17,1,16,5.88235294117647
Nettivaraosa - Sitewise admin,17,0,17,0.0
Nettikaravaani - Sitewise admin,21,0,21,0.0
Nettimokki - Sitewise admin,30,0,30,0.0
Nettimarkkina - Sitewise admin,15,0,15,0.0
Nettix admin,120,0,120,0.0
